job_id,skills_required,experience_required
1,"Python, SQL, Data Analysis",18
2,"Java, JavaScript, Web Development",13
3,"C++, SQL, Machine Learning",7
4,"Python, Data Science, Statistics",8
5,"SQL, Database Management, Data Warehousing",17
6,"Python, SQL, Data Analysis",1
7,"Java, JavaScript, Web Development",16
8,"C++, SQL, Machine Learning",11
9,"Python, Data Science, Statistics",4
10,"SQL, Database Management, Data Warehousing",4
11,"Python, SQL, Data Analysis",17
12,"Java, JavaScript, Web Development",17
13,"C++, SQL, Machine Learning",10
14,"Python, Data Science, Statistics",6
15,"SQL, Database Management, Data Warehousing",17
16,"Python, SQL, Data Analysis",18
17,"Java, JavaScript, Web Development",10
18,"C++, SQL, Machine Learning",13
19,"Python, Data Science, Statistics",16
20,"SQL, Database Management, Data Warehousing",7
21,"Python, SQL, Data Analysis",15
22,"Java, JavaScript, Web Development",2
23,"C++, SQL, Machine Learning",5
24,"Python, Data Science, Statistics",17
25,"SQL, Database Management, Data Warehousing",5
26,"Python, SQL, Data Analysis",8
27,"Java, JavaScript, Web Development",15
28,"C++, SQL, Machine Learning",8
29,"Python, Data Science, Statistics",3
30,"SQL, Database Management, Data Warehousing",17
31,"Python, SQL, Data Analysis",16
32,"Java, JavaScript, Web Development",16
33,"C++, SQL, Machine Learning",19
34,"Python, Data Science, Statistics",12
35,"SQL, Database Management, Data Warehousing",15
36,"Python, SQL, Data Analysis",8
37,"Java, JavaScript, Web Development",3
38,"C++, SQL, Machine Learning",18
39,"Python, Data Science, Statistics",4
40,"SQL, Database Management, Data Warehousing",8
41,"Python, SQL, Data Analysis",14
42,"Java, JavaScript, Web Development",17
43,"C++, SQL, Machine Learning",6
44,"Python, Data Science, Statistics",5
45,"SQL, Database Management, Data Warehousing",14
46,"Python, SQL, Data Analysis",6
47,"Java, JavaScript, Web Development",12
48,"C++, SQL, Machine Learning",9
49,"Python, Data Science, Statistics",1
50,"SQL, Database Management, Data Warehousing",18
51,"Python, SQL, Data Analysis",6
52,"Java, JavaScript, Web Development",5
53,"C++, SQL, Machine Learning",2
54,"Python, Data Science, Statistics",6
55,"SQL, Database Management, Data Warehousing",17
56,"Python, SQL, Data Analysis",7
57,"Java, JavaScript, Web Development",9
58,"C++, SQL, Machine Learning",5
59,"Python, Data Science, Statistics",11
60,"SQL, Database Management, Data Warehousing",11
61,"Python, SQL, Data Analysis",4
62,"Java, JavaScript, Web Development",6
63,"C++, SQL, Machine Learning",10
64,"Python, Data Science, Statistics",9
65,"SQL, Database Management, Data Warehousing",18
66,"Python, SQL, Data Analysis",9
67,"Java, JavaScript, Web Development",11
68,"C++, SQL, Machine Learning",2
69,"Python, Data Science, Statistics",15
70,"SQL, Database Management, Data Warehousing",6
71,"Python, SQL, Data Analysis",17
72,"Java, JavaScript, Web Development",4
73,"C++, SQL, Machine Learning",8
74,"Python, Data Science, Statistics",2
75,"SQL, Database Management, Data Warehousing",9
76,"Python, SQL, Data Analysis",1
77,"Java, JavaScript, Web Development",6
78,"C++, SQL, Machine Learning",16
79,"Python, Data Science, Statistics",7
80,"SQL, Database Management, Data Warehousing",16
81,"Python, SQL, Data Analysis",6
82,"Java, JavaScript, Web Development",10
83,"C++, SQL, Machine Learning",18
84,"Python, Data Science, Statistics",17
85,"SQL, Database Management, Data Warehousing",17
86,"Python, SQL, Data Analysis",12
87,"Java, JavaScript, Web Development",15
88,"C++, SQL, Machine Learning",6
