user_id,skills,experience_years
1,"Python, SQL, Data Analysis",13
2,"Java, JavaScript, Web Development",6
3,"C++, SQL, Machine Learning",1
4,"Python, Data Science, Statistics",4
5,"SQL, Database Management, Data Warehousing",12
6,"Python, SQL, Data Analysis",4
7,"Java, JavaScript, Web Development",8
8,"C++, SQL, Machine Learning",10
9,"Python, Data Science, Statistics",4
10,"SQL, Database Management, Data Warehousing",6
11,"Python, SQL, Data Analysis",3
12,"Java, JavaScript, Web Development",5
13,"C++, SQL, Machine Learning",8
14,"Python, Data Science, Statistics",7
15,"SQL, Database Management, Data Warehousing",9
16,"Python, SQL, Data Analysis",9
17,"Java, JavaScript, Web Development",13
18,"C++, SQL, Machine Learning",11
19,"Python, Data Science, Statistics",2
20,"SQL, Database Management, Data Warehousing",7
21,"Python, SQL, Data Analysis",8
22,"Java, JavaScript, Web Development",8
23,"C++, SQL, Machine Learning",9
24,"Python, Data Science, Statistics",2
25,"SQL, Database Management, Data Warehousing",6
26,"Python, SQL, Data Analysis",10
27,"Java, JavaScript, Web Development",14
28,"C++, SQL, Machine Learning",9
29,"Python, Data Science, Statistics",10
30,"SQL, Database Management, Data Warehousing",5
31,"Python, SQL, Data Analysis",4
32,"Java, JavaScript, Web Development",1
33,"C++, SQL, Machine Learning",4
34,"Python, Data Science, Statistics",6
35,"SQL, Database Management, Data Warehousing",1
36,"Python, SQL, Data Analysis",3
37,"Java, JavaScript, Web Development",4
38,"C++, SQL, Machine Learning",9
39,"Python, Data Science, Statistics",2
40,"SQL, Database Management, Data Warehousing",4
41,"Python, SQL, Data Analysis",14
42,"Java, JavaScript, Web Development",4
43,"C++, SQL, Machine Learning",4
44,"Python, Data Science, Statistics",8
45,"SQL, Database Management, Data Warehousing",1
46,"Python, SQL, Data Analysis",2
47,"Java, JavaScript, Web Development",10
48,"C++, SQL, Machine Learning",10
49,"Python, Data Science, Statistics",1
50,"SQL, Database Management, Data Warehousing",11
51,"Python, SQL, Data Analysis",5
52,"Java, JavaScript, Web Development",8
53,"C++, SQL, Machine Learning",4
54,"Python, Data Science, Statistics",12
55,"SQL, Database Management, Data Warehousing",3
56,"Python, SQL, Data Analysis",8
57,"Java, JavaScript, Web Development",13
58,"C++, SQL, Machine Learning",3
59,"Python, Data Science, Statistics",1
60,"SQL, Database Management, Data Warehousing",1
61,"Python, SQL, Data Analysis",5
62,"Java, JavaScript, Web Development",6
63,"C++, SQL, Machine Learning",6
64,"Python, Data Science, Statistics",7
65,"SQL, Database Management, Data Warehousing",9
66,"Python, SQL, Data Analysis",5
67,"Java, JavaScript, Web Development",2
68,"C++, SQL, Machine Learning",5
69,"Python, Data Science, Statistics",10
70,"SQL, Database Management, Data Warehousing",11
71,"Python, SQL, Data Analysis",11
72,"Java, JavaScript, Web Development",9
73,"C++, SQL, Machine Learning",2
74,"Python, Data Science, Statistics",2
75,"SQL, Database Management, Data Warehousing",8
76,"Python, SQL, Data Analysis",10
77,"Java, JavaScript, Web Development",10
78,"C++, SQL, Machine Learning",4
79,"Python, Data Science, Statistics",7
80,"SQL, Database Management, Data Warehousing",8
81,"Python, SQL, Data Analysis",12
82,"Java, JavaScript, Web Development",3
83,"C++, SQL, Machine Learning",12
84,"Python, Data Science, Statistics",1
85,"SQL, Database Management, Data Warehousing",4
86,"Python, SQL, Data Analysis",6
87,"Java, JavaScript, Web Development",13
88,"C++, SQL, Machine Learning",10
89,"Python, Data Science, Statistics",11
90,"SQL, Database Management, Data Warehousing",5
91,"Python, SQL, Data Analysis",12
92,"Java, JavaScript, Web Development",5
93,"C++, SQL, Machine Learning",7
94,"Python, Data Science, Statistics",5
95,"SQL, Database Management, Data Warehousing",5
96,"Python, SQL, Data Analysis",4
97,"Java, JavaScript, Web Development",13
98,"C++, SQL, Machine Learning",5
99,"Python, Data Science, Statistics",5
100,"SQL, Database Management, Data Warehousing",9
101,"Python, SQL, Data Analysis",5
102,"Java, JavaScript, Web Development",4
103,"C++, SQL, Machine Learning",11
104,"Python, Data Science, Statistics",8
105,"SQL, Database Management, Data Warehousing",14
106,"Python, SQL, Data Analysis",6
107,"Java, JavaScript, Web Development",6
108,"C++, SQL, Machine Learning",1
109,"Python, Data Science, Statistics",2
110,"SQL, Database Management, Data Warehousing",6
111,"Python, SQL, Data Analysis",10
112,"Java, JavaScript, Web Development",4
113,"C++, SQL, Machine Learning",1
114,"Python, Data Science, Statistics",6
115,"SQL, Database Management, Data Warehousing",1
116,"Python, SQL, Data Analysis",2
117,"Java, JavaScript, Web Development",3
118,"C++, SQL, Machine Learning",5
119,"Python, Data Science, Statistics",3
120,"SQL, Database Management, Data Warehousing",1
121,"Python, SQL, Data Analysis",14
122,"Java, JavaScript, Web Development",4
123,"C++, SQL, Machine Learning",3
124,"Python, Data Science, Statistics",11
125,"SQL, Database Management, Data Warehousing",14
126,"Python, SQL, Data Analysis",1
127,"Java, JavaScript, Web Development",8
128,"C++, SQL, Machine Learning",6
129,"Python, Data Science, Statistics",10
130,"SQL, Database Management, Data Warehousing",1
131,"Python, SQL, Data Analysis",11
132,"Java, JavaScript, Web Development",3
133,"C++, SQL, Machine Learning",12
134,"Python, Data Science, Statistics",11
135,"SQL, Database Management, Data Warehousing",8
136,"Python, SQL, Data Analysis",12
137,"Java, JavaScript, Web Development",3
138,"C++, SQL, Machine Learning",10
139,"Python, Data Science, Statistics",3
140,"SQL, Database Management, Data Warehousing",4
141,"Python, SQL, Data Analysis",12
142,"Java, JavaScript, Web Development",4
143,"C++, SQL, Machine Learning",3
